SquareFeet,NumBedrooms,NumBathrooms,NumFloors,YearBuilt,HouseStyle,City,Price
2100,3,2,2,2005,Ranch,New York,350000
1600,3,2,1,1998,Colonial,Los Angeles,270000
2400,4,3,2,2010,Ranch,San Francisco,410000
1416,2,1,1,1995,Colonial,New York,210000
3000,4,3,2,2015,Modern,Los Angeles,550000
1985,4,2,2,2000,Ranch,San Francisco,320000
1534,3,2,2,2002,Modern,New York,270000
1427,3,2,1,1997,Colonial,Los Angeles,225000
1380,3,1,1,1998,Colonial,New York,215000
1494,3,2,2,2018,Modern,San Francisco,275000
2100,3,2,2,2003,Ranch,New York,340000
1750,3,2,1,2001,Colonial,Los Angeles,290000
2600,4,3,2,2009,Ranch,San Francisco,425000
1578,2,1,1,1996,Colonial,New York,220000
3150,4,3,2,2016,Modern,Los Angeles,580000
2020,4,2,2,2004,Ranch,San Francisco,330000
1685,3,2,2,2008,Modern,New York,295000
1465,3,1,1,1999,Colonial,Los Angeles,215000
1590,3,2,1,1996,Colonial,New York,240000
1680,3,2,2,2019,Modern,San Francisco,310000
1850,3,2,2,2012,Ranch,New York,360000
2250,4,2,2,2014,Colonial,Los Angeles,410000
2700,4,3,2,2007,Ranch,San Francisco,440000
1340,2,1,1,1994,Colonial,New York,200000
1900,3,2,1,2006,Modern,Los Angeles,320000
2255,4,3,2,2011,Ranch,San Francisco,385000
1720,3,2,1,1997,Colonial,New York,265000
1850,3,2,1,2005,Colonial,Los Angeles,290000
2300,4,3,2,2013,Modern,San Francisco,410000
1650,3,2,2,2008,Ranch,New York,295000
1750,3,2,2,2002,Ranch,Los Angeles,305000
1950,4,2,2,2017,Modern,San Francisco,370000
1200,2,1,1,1993,Colonial,New York,190000
2140,3,2,2,2009,Ranch,Los Angeles,355000
1750,3,2,1,2004,Colonial,San Francisco,295000
2400,4,3,2,2016,Modern,New York,425000
1625,3,2,2,2010,Ranch,Los Angeles,315000
1950,3,2,1,2003,Colonial,San Francisco,260000
2050,3,2,2,2018,Modern,New York,360000
2450,4,3,2,2015,Modern,Los Angeles,430000
1400,2,1,1,1996,Colonial,San Francisco,205000
1850,3,2,1,2000,Colonial,New York,290000
1980,3,2,2,2007,Modern,Los Angeles,340000
2200,4,3,2,2012,Ranch,San Francisco,395000
1780,3,2,1,1999,Colonial,New York,275000
2250,3,2,2,2019,Modern,Los Angeles,365000
1900,3,2,2,2013,Ranch,San Francisco,330000
2125,4,3,2,2006,Modern,New York,385000
1400,3,1,1,1994,Colonial,Los Angeles,210000
2400,3,2,2,2005,Colonial,San Francisco,410000
1950,4,3,2,2014,Modern,New York,375000
2150,4,2,2,2011,Ranch,Los Angeles,420000
1690,3,2,1,2003,Colonial,San Francisco,300000
